Level,Date and Time,Source,Event ID,Task Category
Information,7/14/2021 6:16:46 AM,Outlook,63,None,The Exchange web service request GetAppManifests succeeded. 
Information,7/14/2021 6:16:44 AM,Outlook,63,None,Outlook detected a change notification for your apps and will attempt to update them.
Information,7/14/2021 6:13:38 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2021-07-19T03:18:38Z. Reason: RulesEngine.
Information,7/14/2021 6:13:07 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,7/14/2021 6:03:41 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2021-07-19T03:18:41Z. Reason: RulesEngine.
Information,7/14/2021 6:03:11 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,7/14/2021 6:02:48 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2021-07-19T03:18:48Z. Reason: RulesEngine.
Information,7/14/2021 6:01:55 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,7/14/2021 6:01:11 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2021-07-19T03:18:10Z. Reason: RulesEngine.
Information,7/14/2021 6:00:39 AM,Microsoft-Windows-Security-SPP,1040,None,"Hardware has changed from previous boot.
 AppId=55c92734-d682-4d71-983e-d6ec3f16059f, SkuId=73111121-5638-40f6-bc11-f1d7b0d64300."
Information,7/14/2021 6:00:38 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,7/14/2021 6:00:21 AM,Outlook,63,None,The Exchange web service request GetAppManifests succeeded. 
Information,7/14/2021 6:00:20 AM,Outlook,63,None,Outlook detected a change notification for your apps and will attempt to update them.
Information,7/14/2021 6:00:11 AM,Outlook,26,None,Connection to Microsoft Exchange has been restored.
Information,7/14/2021 6:00:02 AM,Microsoft-Windows-Security-SPP,16384,None,Successfully scheduled Software Protection service for re-start at 2021-07-19T03:19:02Z. Reason: RulesEngine.
Information,7/14/2021 5:59:48 AM,edgeupdate,0,None,Service stopped.
Information,7/14/2021 5:59:42 AM,gupdate,0,None,The operation completed successfully.
Information,7/14/2021 5:59:31 AM,Microsoft-Windows-Security-SPP,1040,None,"Hardware has changed from previous boot.
 AppId=55c92734-d682-4d71-983e-d6ec3f16059f, SkuId=73111121-5638-40f6-bc11-f1d7b0d64300."
Information,7/14/2021 5:59:30 AM,Microsoft-Windows-Security-SPP,16394,None,Offline downlevel migration succeeded.
Information,7/14/2021 5:59:19 AM,Outlook,63,None,The Exchange web service request GetAppManifests succeeded. 
Information,7/14/2021 5:58:59 AM,DockerService,0,None,PowerEvent handled successfully by the service.
Information,7/14/2021 5:58:59 AM,DockerService,0,None,PowerEvent handled successfully by the service.
Information,7/14/2021 5:58:50 AM,DockerService,0,None,PowerEvent handled successfully by the service.
Information,7/14/2021 5:58:44 AM,DockerService,0,None,PowerEvent handled successfully by the service.
Information,7/14/2021 5:58:44 AM,Outlook,26,None,Connection to Microsoft Exchange has been lost. Outlook will restore the connection when possible.
Information,7/14/2021 12:31:44 AM,DockerService,0,None,PowerEvent handled successfully by the service.
Information,7/14/2021 12:31:39 AM,MSSQLSERVER,17890,Server,"A significant part of sql server process memory has been paged out. This may result in a performance degradation. Duration: 57634 seconds. Working set (KB): 114676, committed (KB): 282364, memory utilization: 40%%."
Information,7/14/2021 12:03:54 AM,MSSQLSERVER,17177,Server,This instance of SQL Server has been using a process ID of 5532 since 7/13/2021 8:14:24 AM (local) 7/13/2021 1:14:24 PM (UTC). This is an informational message only; no user action is required.
Information,7/13/2021 11:48:54 PM,acdartcli,1,(1),"The description for Event ID 1 from source acdartcli cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Function: MsgCatalog::init
File: c:\temp\build\thehoff\orion_mr10.989354729559\orion_mr1\vpn\common\i18n\msgcatalog.cpp
Line: 373
initialized catalog: AnyConnect with locale: en-US

The locale specific resource for the desired message is not present
"
Error,7/13/2021 11:48:54 PM,acdartcli,2,(1),"The description for Event ID 2 from source acdartcli cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Function: MsgCatalog::getLocalizationPath
File: c:\temp\build\thehoff\orion_mr10.989354729559\orion_mr1\vpn\common\i18n\msgcatalog.cpp
Line: 902
Invoked Function: CInstanceSmartPtr<StoragePath>
Return Code: -23199734 (0xFE9E000A)
Description: CSTORAGEPATH_ERROR_NO_INSTANCE


The locale specific resource for the desired message is not present
"
Information,7/13/2021 11:36:25 PM,Windows Error Reporting,1001,None,"Fault bucket 1623698256206090945, type 5
Event Name: BEX
Response: Not available
Cab Id: 0

Problem signature:
P1: ZSATunnel.exe
P2: 3.1.0.129
P3: 6019398d
P4: ZSATunnel.exe
P5: 3.1.0.129
P6: 6019398d
P7: 00484379
P8: c0000409
P9: 00000007
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8A74.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8BFB.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8C2B.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8C39.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8CA7.tmp.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_ZSATunnel.exe_d801ffb4f06e8c3a3416a48b36a73ac80d9b4_17c7122e_df2e1813-b84b-45da-a22c-febb89b413f9

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9b8adee9-4452-4937-9f4a-4f744a614528
Report Status: 268435456
Hashed bucket: 8ff15eafa3879b10268888f61795d2c1
Cab Guid: 0"
Error,7/13/2021 11:36:23 PM,Application Error,1000,(100),"Faulting application name: ZSATunnel.exe, version: 3.1.0.129, time stamp: 0x6019398d
Faulting module name: ZSATunnel.exe, version: 3.1.0.129, time stamp: 0x6019398d
Exception code: 0xc0000409
Fault offset: 0x00484379
Faulting process id: 0x3924
Faulting application start time: 0x01d7784c7d83afc4
Faulting application path: C:\Program Files (x86)\Zscaler\ZSATunnel\ZSATunnel.exe
Faulting module path: C:\Program Files (x86)\Zscaler\ZSATunnel\ZSATunnel.exe
Report Id: 9b8adee9-4452-4937-9f4a-4f744a614528
Faulting package full name: 
Faulting package-relative application ID: "
Information,7/13/2021 11:36:20 PM,acdartcli,1,(1),"The description for Event ID 1 from source acdartcli cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Function: MsgCatalog::init
File: c:\temp\build\thehoff\orion_mr10.989354729559\orion_mr1\vpn\common\i18n\msgcatalog.cpp
Line: 373
initialized catalog: AnyConnect with locale: en-US

The locale specific resource for the desired message is not present
"
